Cluster_A,Cluster_B,Distance_km,total_population,num_businesses,total_boardings,Flow,Estimated_Flow,Optimized_Flow
33,44,15.750377000000004,1490,184,66787,1,73809815.59503905,73809815.59503905
33,45,54.896084,1490,30,66787,1,990641.981240105,990641.981240105
33,46,60.158029000000006,1490,25,66787,1,687434.0115189868,687434.0115189868
33,47,48.54080400000001,1490,12,66787,1,506810.4013989541,506810.4013989541
33,48,75.25955299999995,1490,14,66787,1,245970.46995771048,245970.46995771048
33,49,25.64759100000001,1490,45,66787,1,6807655.3273548605,6807655.3273548605
33,50,54.95177499999999,1490,698,66787,1,23002242.443114255,23002242.443114255
33,51,17.945797,1490,48,66787,1,14831802.715968287,14831802.715968287
33,52,11.389065,1490,25,66787,1,19179711.47974431,19179711.47974431
33,53,40.732811,1490,23,66787,1,1379485.9326800434,1379485.9326800434
33,54,32.40271400000001,1490,3641,66787,1,345092966.72984004,345092966.72984004
33,55,172.778542,1490,403,66787,1,1343394.7312513222,1343394.7312513222
33,56,45.383868000000014,1490,52,66787,1,2512340.6948791114,2512340.6948791114
33,57,30.279813,1490,34,66787,1,3690207.131538341,3690207.131538341
33,58,52.24109200000001,1490,89,66787,1,3245216.8180717304,3245216.8180717304
33,59,32.287115,1490,15,66787,1,1431894.3722481776,1431894.3722481776
33,60,50.207058,1490,45,66787,1,1776483.4701443105,1776483.4701443105
33,61,49.007174000000006,1490,428,66787,1,17733834.618662745,17733834.618662745
33,62,67.72855500000001,1490,59,66787,1,1279931.112485252,1279931.112485252
33,63,68.424128,1490,39,66787,1,828942.2363210572,828942.2363210572
33,64,83.225886,1490,217,66787,1,3117604.959458518,3117604.959458518
33,65,61.35069600000002,1490,16,66787,1,423018.3422217894,423018.3422217894
33,66,23.763109,1490,657,66787,1,115780935.32218342,115780935.32218342
33,67,48.35927800000001,1490,4,66787,1,170207.45541052835,170207.45541052835
33,68,68.948683,1490,245,66787,1,5128523.365721654,5128523.365721654
33,69,15.095819000000002,1490,25,66787,1,10917038.779719405,10917038.779719405
33,70,15.890077,1490,60,66787,1,23647076.221574686,23647076.221574686
33,71,34.930588,1490,50,66787,1,4077898.538051009,4077898.538051009
33,72,43.82584000000001,1490,30,66787,1,1554314.7245855054,1554314.7245855054
33,73,40.622662000000005,1490,258,66787,1,15558264.542240009,15558264.542240009
33,74,76.48467500000001,1490,159,66787,1,2704745.9387750854,2704745.9387750854
33,75,62.84649700000004,1490,29,66787,1,730657.8440247457,730657.8440247457
33,76,27.05217,1490,96,66787,1,13054048.486098746,13054048.486098746
33,77,75.25955299999995,1490,79,66787,1,1387976.2233327948,1387976.2233327948
33,78,52.877288000000014,1490,46,66787,1,1637184.7496179687,1637184.7496179687
33,79,51.917505,1490,33,66787,1,1218328.818968317,1218328.818968317
33,80,41.27349500000002,1490,9,66787,1,525748.7170321442,525748.7170321442
33,81,72.66155199999999,1490,32,66787,1,603140.9877441977,603140.9877441977
33,82,21.030114,1490,27,66787,1,6075173.908510075,6075173.908510075
33,83,172.778542,1490,631,66787,1,2103429.4675423927,2103429.4675423927
33,84,36.550655000000006,1490,262,66787,1,19515926.214167632,19515926.214167632
33,85,33.610689,1490,782,66787,1,68885866.65279472,68885866.65279472
33,86,30.076996999999995,1490,23,66787,1,2530096.5550659806,2530096.5550659806
33,87,47.45951599999997,1490,23,66787,1,1016153.7647097901,1016153.7647097901
33,88,48.78286699999997,1490,19,66787,1,794505.9688287458,794505.9688287458
33,89,14.151725999999998,1490,60,66787,1,29813339.93304496,29813339.93304496
33,90,49.20473900000001,1490,954,66787,1,39211432.9921258,39211432.9921258
33,91,43.86939399999999,1490,159,66787,1,8221518.874489657,8221518.874489657
33,92,17.069857999999996,1490,33,66787,1,11270218.279802911,11270218.279802911
33,93,19.329222,1490,462,66787,1,123052780.57305868,123052780.57305868
33,94,62.245755,1490,55,66787,1,1412607.2007824169,1412607.2007824169
33,95,37.192071,1490,502,66787,1,36114465.941576846,36114465.941576846
33,96,48.18470000000001,1490,11,66787,1,471468.37940812117,471468.37940812117
33,97,160.21569700000003,1490,144,66787,1,558252.3621903894,558252.3621903894
33,98,38.869941,1490,1962,66787,1,129225863.98312894,129225863.98312894
33,99,45.966868000000005,1490,52,66787,1,2449016.55328699,2449016.55328699
33,100,64.24151,1490,158,66787,1,3809814.3231773465,3809814.3231773465
33,101,160.21569700000003,1490,113,66787,1,438073.0342188473,438073.0342188473
33,102,73.34215299999997,1490,1,66787,1,18499.9644876447,18499.9644876447
33,103,17.416658000000005,1490,14,66787,1,4592790.040010962,4592790.040010962
33,104,28.793436,1490,108,66787,1,12963282.12062591,12963282.12062591
33,105,12.620701,1490,40,66787,1,24990286.772048377,24990286.772048377
33,106,42.44223700000001,1490,178,66787,1,9833354.005655246,9833354.005655246
33,107,43.549456,1490,24,66787,1,1259284.8462266766,1259284.8462266766
33,108,55.479792000000025,1490,11,66787,1,355632.33484149433,355632.33484149433
33,109,89.23159500000001,1490,32,66787,1,399936.34252327087,399936.34252327087
33,110,71.192722,1490,9,66787,1,176705.27626849222,176705.27626849222
33,111,68.35897899999999,1490,21,66787,1,447204.70485723973,447204.70485723973
33,112,53.299647,1490,84,66787,1,2942448.191718197,2942448.191718197
33,113,36.899231,1490,332,66787,1,24265076.080596738,24265076.080596738
33,114,41.933899,1490,274,66787,1,15505946.365256308,15505946.365256308
33,115,59.573787,1490,36,66787,1,1009416.2419204386,1009416.2419204386
33,116,21.797769,1490,761,66787,1,159381815.4214631,159381815.4214631
33,117,8.029154,1490,34,66787,1,52482866.31461256,52482866.31461256
33,118,22.885571,1490,36,66787,1,6840017.293819852,6840017.293819852
33,119,36.15801200000003,1490,154,66787,1,11721679.324093526,11721679.324093526
33,120,46.94397399999999,1490,55,66787,1,2483597.36561762,2483597.36561762
33,121,44.39585600000001,1490,6,66787,1,302931.60546583176,302931.60546583176
33,122,15.931055999999998,1490,20,66787,1,7841859.762601959,7841859.762601959
33,123,58.52469299999999,1490,630,66787,1,18303766.433064066,18303766.433064066
33,124,31.42025499999999,1490,71,66787,1,7156771.35023199,7156771.35023199
33,125,18.381099,1490,177,66787,1,52132496.45022215,52132496.45022215
33,126,57.762709000000015,1490,0,66787,1,0.0,0.0
33,127,160.21569700000003,1490,25,66787,1,96918.81288027595,96918.81288027595
33,128,55.88358400000001,1490,60,66787,1,1911881.4192126126,1911881.4192126126
33,129,52.77977100000001,1490,37,66787,1,1321736.6275145125,1321736.6275145125
34,0,150.27925700000006,11127,24,2537305,1,30002947.818500828,30002947.818500828
34,1,158.6275520000001,11127,201,2537305,1,225522343.88846245,225522343.88846245
34,2,184.7715910000001,11127,16,2537305,1,13231233.971017482,13231233.971017482
34,3,162.76351300000002,11127,334,2537305,1,355945183.33614403,355945183.33614403
34,4,173.8501380000001,11127,26,2537305,1,24287008.89027865,24287008.89027865
34,5,176.8335880000001,11127,27,2537305,1,24377266.744711455,24377266.744711455
34,6,144.44010400000005,11127,17,2537305,1,23005098.642627254,23005098.642627254
34,7,0.0,11127,45,2537305,1,inf,inf
34,8,140.78183800000008,11127,285,2537305,1,405977870.80002654,405977870.80002654
34,9,177.40618500000008,11127,8,2537305,1,7176343.804977306,7176343.804977306
34,10,179.80583200000004,11127,1130,2537305,1,986782999.7831907,986782999.7831907
34,11,161.77908499999998,11127,84,2537305,1,90611913.10551395,90611913.10551395
34,12,174.49700800000005,11127,32,2537305,1,29670493.655100565,29670493.655100565
34,13,151.8063280000001,11127,23,2537305,1,28177265.790515885,28177265.790515885
34,14,131.364584,11127,180,2537305,1,294487373.56983596,294487373.56983596
34,15,167.84284000000005,11127,20,2537305,1,20043571.984490056,20043571.984490056
34,16,206.95357100000007,11127,7,2537305,1,4614269.478123802,4614269.478123802
34,17,151.86397000000008,11127,185,2537305,1,226471206.55716118,226471206.55716118
34,18,149.27268400000008,11127,164,2537305,1,207794442.42050558,207794442.42050558
34,19,163.281812,11127,4724,2537305,1,5002476184.449593,5002476184.449593
34,20,174.2048140000001,11127,239,2537305,1,222345507.99257645,222345507.99257645
34,21,17.243637000000003,11127,54,2537305,1,5127276985.128295,5127276985.128295
34,22,190.237143,11127,39,2537305,1,30424590.409937885,30424590.409937885
34,23,181.06463900000003,11127,41,2537305,1,35307529.76088636,35307529.76088636
34,24,184.71895500000008,11127,62,2537305,1,51300255.34698983,51300255.34698983
34,25,170.97567300000006,11127,47,2537305,1,45392068.881360054,45392068.881360054
34,26,139.07345100000006,11127,12,2537305,1,17516347.259591535,17516347.259591535
34,27,163.428922,11127,188,2537305,1,198724210.60203457,198724210.60203457
34,28,172.64271500000007,11127,2,2537305,1,1894454.786135686,1894454.786135686
34,29,132.58370200000002,11127,34,2537305,1,54607135.80027921,54607135.80027921
34,30,198.076068,11127,32,2537305,1,23026966.49893436,23026966.49893436
34,31,155.87558000000007,11127,747,2537305,1,867990956.2748297,867990956.2748297
